url,tr,cl,jn,st,mc,state
https://www.scribd.com/document/329261002/NEVADA-October-27-2016#from_embed ,46,46,3,0,0,Nevada
http://cnu.edu/cpp/pdf/oct%2028%202016%20report-final.pdf ,39,46,5,1,0,Virginia
http://www.stltoday.com/news/local/govt-and-politics/trump-leads-clinton-blunt-kander-a-virtual-tie-in-missouri/article_a4a48a47-485f-5e9a-b6f6-1dba7c7deb48.html ,47,42,3,1,0,Missouri
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/idaho/election_2016_idaho_president ,48,29,6,3,10,Idaho
https://poll.qu.edu/images/polling/ps/ps10272016_S397fgbw.pdf/ ,43,47,5,0,0,North Carolina
http://www.realclearpolitics.com/docs/2016/UMass_Amherst_October_27th_2916.pdf ,38,43,8,3,0,New Hampshire
https://www.unf.edu/publicrelations/media_relations/press/2016/Poll_Shows_Clinton,_Rubio_and_Amendment_2_hold_leads_in_Florida.aspx ,39,43,6,2,0,Florida
http://www.realclearpolitics.com/docs/2016/Dixie_Strategies_FL_October_2016.pdf ,46,42,2,1,0,Florida
https://www.siena.edu/assets/files/news/PA_oct_release_final261.pdf ,39,46,6,3,0,Pennsylvania
http://www.realclearpolitics.com/docs/2016/Trafalgar_Ohio_October_27th_2016.pdf ,49,44,2,0,0,Ohio
http://www.freep.com/story/news/politics/2016/10/27/donald-trump-narrows-hillary-clintons-lead-7-michigan/92786458/ ,34,41,9,3,0,Michigan
http://www.realclearpolitics.com/docs/2016/FOX_2_Detroit-Mitchell_Poll_of_MI_Press_Clinton_v_Trump_10-26-16_.pdf ,42,48,5,2,0,Michigan
http://themissouritimes.com/35001/greitens-trims-kosters-lead-trump-surges-missouri/ ,50,39,4,1,0,Missouri
http://www.realclearpolitics.com/docs/2016/Zia_Poll_October_27th_2016.pdf ,40,45,9,2,0,New Mexico
http://kcts9.org/programs/vote-2016/new-poll-finds-washington-state-often-divided-region-and-political-parties-many#method ,39,53,0,0,0,Washington
http://www.theadvocate.com/baton_rouge/news/politics/article_38cc60ba-9ba7-11e6-b933-a73c72e3f6bd.html ,50,35,0,0,0,Louisiana
http://www.suffolk.edu/documents/SUPRC/10_27_2016_marginals.pdf ,25,57,4,3,0,Massachusetts
http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf ,28,54,5,5,0,California
http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll ,45,43,4,2,0,Florida
http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361 ,43,43,1,0,0,Nevada
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NH_102616/ ,42,46,7,1,0,New Hampshire
http://www.mystatesman.com/news/news/state-regional-govt-politics/new-texas-polls-shows-trump-with-small-but-safe-le/nsx2d/ ,45,38,0,0,0,Texas
https://www.texastribune.org/2016/10/27/uttt-poll-trump-holds-narrow-lead-over-clinton/ ,45,42,7,2,0,Texas
http://www.msubillings.edu/urelations/releases/newsphotos2016/oct/Montana_Poll_2016.pdf ,43,27,7,2,0,Montana
http://www.wcax.com/story/33487111/wcax-poll-vermonters-strongly-favor-clinton ,22,50,7,5,0,Vermont
http://www.realclearpolitics.com/docs/2016/Remington_OH_Oct_25th_2016.pdf ,46,42,0,0,0,Ohio
http://www.realclearpolitics.com/docs/2016/Remington_PA_Oct_25th_2016.pdf ,42,45,0,0,0,Pennsylvania
http://www.startribune.com/in-minnesota-poll-clinton-widens-lead-over-trump/398272671/ ,39,47,6,1,0,Minnesota
http://www.realclearpolitics.com/docs/2016/Remington_WI_Oct_25th_2016.pdf ,41,46,0,0,0,Wisconsin
http://www.realclearpolitics.com/docs/2016/Gravis_Indiana_Oct_2016.pdf ,49,38,5,0,0,Indiana
http://www.realclearpolitics.com/docs/2016/Remington_NC_Oct_25th_2016.pdf ,47,44,3,0,0,North Carolina
http://www.realclearpolitics.com/docs/2016/New_York_Times_Siena_NC_Oct_25th.pdf ,39,46,8,0,0,North Carolina
http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html ,45,48,2,1,0,Florida
http://www.realclearpolitics.com/docs/2016/Remington_FL_Oct_25th_2016.pdf ,46,46,0,0,0,Florida
www.realclearpolitics.com/docs/2016/FAU_October_2016.pdf ,43,46,3,0,0,Florida
https://talkbusiness.net/2016/10/trump-boozman-maintain-big-leads-in-arkansas/ ,56,33,4,2,0,Arkansas
http://www.realclearpolitics.com/docs/2016/Remington_VA_Oct_25th_2016.pdf ,43,48,0,0,0,Virginia
http://www.keloland.com/news/politics/campaign/keloland-campaign-2016-poll/ ,44,37,7,0,0,South Dakota
http://www.realclearpolitics.com/docs/2016/Remington_CO_Oct_25th_2016.pdf ,43,45,0,0,0,Colorado
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_AZ_102516/ ,46,45,4,1,0,Arizona
http://www.realclearpolitics.com/docs/2016/Remington_NV_Oct_25th_2016.pdf ,47,44,4,0,0,Nevada
http://www.realclearpolitics.com/docs/2016/Emerson_Idaho_Oct_25th_2016.pdf ,52,23,4,0,10,Idaho
https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_NC_102416/ ,46,47,4,0,0,North Carolina
http://www.realclearpolitics.com/docs/2016/PPP_NC_Oct_24_2016.pdf ,44,47,4,0,0,North Carolina
http://www.reviewjournal.com/politics/election-2016/rj-poll-shows-clinton-pulling-away-trump-nevada ,41,48,6,0,0,Nevada
http://www.ktnv.com/news/political/ktnvrasmussen-poll-clinton-pulls-ahead-of-trump-in-nevada-as-early-voting-starts ,42,46,5,0,0,Nevada
http://www.realclearpolitics.com/docs/2016/FOX_2_Detroit-Mitchell_Poll_of_MI_Press_Clinton_v_Trump_10-24-16.pdf ,41,49,3,1,0,Michigan
